wvlng	cf 1	basel	cf 2	cf 3
900,00	0,148	0,000	0,031	0,400
899,00	0,145	-0,000	0,030	0,395
898,00	0,142	0,001	0,028	0,391
897,00	0,137	-0,000	0,027	0,388
896,00	0,134	0,000	0,026	0,385
895,00	0,130	-0,000	0,024	0,381
894,00	0,128	0,001	0,024	0,378
893,00	0,125	0,001	0,024	0,377
892,00	0,123	0,001	0,022	0,374
891,00	0,119	-0,000	0,021	0,370
890,00	0,118	0,001	0,020	0,370
889,00	0,116	0,001	0,021	0,369
888,00	0,114	0,000	0,020	0,367
887,00	0,113	0,001	0,020	0,366
886,00	0,110	-0,000	0,019	0,364
885,00	0,109	0,001	0,019	0,364
884,00	0,108	0,000	0,019	0,363
883,00	0,107	-0,000	0,017	0,362
882,00	0,106	0,000	0,018	0,362
881,00	0,104	-0,000	0,016	0,361
880,00	0,104	0,000	0,017	0,361
879,00	0,103	0,000	0,016	0,361
878,00	0,102	0,001	0,016	0,361
877,00	0,102	0,001	0,015	0,361
876,00	0,101	0,000	0,015	0,361
875,00	0,101	0,000	0,016	0,362
874,00	0,100	0,000	0,016	0,362
873,00	0,100	0,001	0,016	0,362
872,00	0,100	0,001	0,015	0,363
871,00	0,100	0,000	0,015	0,363
870,00	0,099	-0,000	0,015	0,363
869,00	0,099	0,000	0,015	0,364
868,00	0,099	0,000	0,015	0,365
867,00	0,099	0,000	0,015	0,365
866,00	0,099	0,000	0,015	0,366
865,00	0,099	0,000	0,015	0,367
864,00	0,099	-0,000	0,015	0,367
863,00	0,099	0,000	0,015	0,368
862,00	0,099	0,000	0,015	0,369
861,00	0,099	-0,000	0,015	0,369
860,00	0,099	0,000	0,015	0,371
859,00	0,099	-0,000	0,015	0,371
858,00	0,099	-0,000	0,015	0,372
857,00	0,100	-0,000	0,015	0,373
856,00	0,099	-0,000	0,015	0,374
855,00	0,099	-0,000	0,015	0,375
854,00	0,100	-0,000	0,015	0,376
853,00	0,100	-0,000	0,016	0,377
852,00	0,100	-0,000	0,016	0,378
851,00	0,100	-0,000	0,016	0,379
850,00	0,100	-0,000	0,016	0,380
849,00	0,100	-0,001	0,015	0,380
848,00	0,101	-0,000	0,016	0,382
847,00	0,101	-0,000	0,016	0,383
846,00	0,101	-0,001	0,016	0,384
845,00	0,101	-0,000	0,016	0,385
844,00	0,101	-0,001	0,016	0,386
843,00	0,102	-0,001	0,016	0,387
842,00	0,102	-0,001	0,016	0,388
841,00	0,102	-0,001	0,016	0,389
840,00	0,102	-0,001	0,016	0,390
839,00	0,103	-0,001	0,016	0,391
838,00	0,103	-0,001	0,016	0,392
837,00	0,103	-0,001	0,016	0,393
836,00	0,103	-0,001	0,016	0,394
835,00	0,104	-0,001	0,017	0,395
834,00	0,104	-0,001	0,016	0,396
833,00	0,104	-0,001	0,017	0,398
832,00	0,105	-0,001	0,017	0,399
831,00	0,105	-0,001	0,017	0,400
830,00	0,105	-0,001	0,017	0,401
829,00	0,106	-0,001	0,017	0,402
828,00	0,106	-0,001	0,017	0,403
827,00	0,106	-0,001	0,017	0,404
826,00	0,106	-0,001	0,017	0,405
825,00	0,107	-0,001	0,017	0,407
824,00	0,107	-0,001	0,017	0,408
823,00	0,107	-0,001	0,017	0,409
822,00	0,108	-0,001	0,017	0,410
821,00	0,108	-0,001	0,017	0,411
820,00	0,108	-0,001	0,017	0,412
819,00	0,109	-0,001	0,017	0,413
818,00	0,109	-0,001	0,017	0,415
817,00	0,109	-0,001	0,018	0,416
816,00	0,110	-0,001	0,018	0,417
815,00	0,110	-0,001	0,018	0,418
814,00	0,110	-0,001	0,018	0,419
813,00	0,111	-0,001	0,018	0,421
812,00	0,111	-0,001	0,018	0,422
811,00	0,111	-0,001	0,018	0,423
810,00	0,112	-0,001	0,018	0,424
809,00	0,112	-0,001	0,018	0,425
808,00	0,113	-0,001	0,018	0,426
807,00	0,113	-0,001	0,018	0,427
806,00	0,113	-0,001	0,018	0,429
805,00	0,114	-0,001	0,018	0,430
804,00	0,114	-0,001	0,018	0,431
803,00	0,115	-0,001	0,018	0,432
802,00	0,115	-0,001	0,018	0,434
801,00	0,115	-0,001	0,018	0,435
800,00	0,116	-0,001	0,019	0,436
799,00	0,116	-0,001	0,019	0,437
798,00	0,117	-0,001	0,019	0,439
797,00	0,117	-0,001	0,019	0,440
796,00	0,117	-0,001	0,019	0,441
795,00	0,118	-0,001	0,019	0,442
794,00	0,118	-0,001	0,019	0,444
793,00	0,119	-0,001	0,019	0,445
792,00	0,119	-0,001	0,019	0,446
791,00	0,120	-0,001	0,019	0,448
790,00	0,120	-0,001	0,019	0,449
789,00	0,120	-0,001	0,019	0,450
788,00	0,121	-0,001	0,019	0,451
787,00	0,121	-0,001	0,019	0,453
786,00	0,122	-0,001	0,019	0,454
785,00	0,122	-0,001	0,019	0,455
784,00	0,122	-0,001	0,019	0,457
783,00	0,123	-0,001	0,019	0,458
782,00	0,123	-0,001	0,020	0,459
781,00	0,124	-0,001	0,020	0,460
780,00	0,124	-0,001	0,020	0,462
779,00	0,124	-0,001	0,020	0,463
778,00	0,125	-0,001	0,020	0,465
777,00	0,125	-0,001	0,020	0,466
776,00	0,126	-0,001	0,020	0,467
775,00	0,126	-0,001	0,020	0,469
774,00	0,127	-0,001	0,020	0,470
773,00	0,127	-0,001	0,020	0,472
772,00	0,127	-0,001	0,020	0,473
771,00	0,128	-0,001	0,020	0,474
770,00	0,128	-0,001	0,020	0,475
769,00	0,129	-0,001	0,020	0,477
768,00	0,129	-0,001	0,020	0,478
767,00	0,130	-0,001	0,020	0,479
766,00	0,130	-0,001	0,020	0,481
765,00	0,130	-0,001	0,020	0,482
764,00	0,131	-0,001	0,021	0,484
763,00	0,131	-0,001	0,020	0,485
762,00	0,132	-0,001	0,021	0,487
761,00	0,132	-0,001	0,021	0,488
760,00	0,133	-0,001	0,021	0,490
759,00	0,133	-0,001	0,021	0,491
758,00	0,134	-0,001	0,021	0,492
757,00	0,134	-0,001	0,021	0,494
756,00	0,135	-0,001	0,021	0,496
755,00	0,135	-0,001	0,021	0,497
754,00	0,136	-0,001	0,021	0,499
753,00	0,136	-0,001	0,021	0,500
752,00	0,137	-0,001	0,021	0,502
751,00	0,138	-0,001	0,022	0,503
750,00	0,138	-0,001	0,021	0,505
749,00	0,138	-0,001	0,021	0,506
748,00	0,139	-0,001	0,022	0,508
747,00	0,139	-0,001	0,022	0,509
746,00	0,140	-0,001	0,022	0,511
745,00	0,140	-0,001	0,022	0,512
744,00	0,141	-0,001	0,022	0,514
743,00	0,141	-0,001	0,022	0,515
742,00	0,142	-0,001	0,022	0,517
741,00	0,142	-0,001	0,022	0,519
740,00	0,143	-0,001	0,022	0,520
739,00	0,144	-0,001	0,022	0,522
738,00	0,145	-0,001	0,023	0,524
737,00	0,146	-0,001	0,023	0,525
736,00	0,147	-0,001	0,023	0,527
735,00	0,148	-0,001	0,023	0,529
734,00	0,149	-0,001	0,023	0,531
733,00	0,150	-0,001	0,023	0,533
732,00	0,150	-0,001	0,023	0,534
731,00	0,151	-0,001	0,023	0,536
730,00	0,152	-0,001	0,023	0,538
729,00	0,153	-0,001	0,023	0,540
728,00	0,155	-0,001	0,023	0,541
727,00	0,156	-0,001	0,024	0,543
726,00	0,157	-0,001	0,024	0,545
725,00	0,158	-0,001	0,024	0,547
724,00	0,159	-0,001	0,024	0,549
723,00	0,160	-0,001	0,024	0,551
722,00	0,162	-0,001	0,024	0,553
721,00	0,163	-0,001	0,024	0,554
720,00	0,164	-0,001	0,024	0,557
719,00	0,166	-0,001	0,024	0,559
718,00	0,168	-0,001	0,025	0,561
717,00	0,169	-0,001	0,025	0,563
716,00	0,171	-0,001	0,025	0,565
715,00	0,173	-0,001	0,025	0,567
714,00	0,176	-0,001	0,025	0,569
713,00	0,178	-0,001	0,025	0,572
712,00	0,180	-0,001	0,025	0,573
711,00	0,183	-0,001	0,026	0,576
710,00	0,187	-0,001	0,026	0,578
709,00	0,190	-0,001	0,026	0,581
708,00	0,194	-0,001	0,026	0,584
707,00	0,198	-0,001	0,026	0,587
706,00	0,202	-0,001	0,027	0,590
