tijd (h)	CO2 (ppm) (1)	CO2 (ppm) (2)	CO2 (ppm) (3)	CO2 (ppm) (4)
0		1094,028015	787,5170898	2763,721008	914,5465088
4		1024,02832	3333,25531	3439,685364	734,8742676
8		905,3912354	3196,116943	3028,651733	430,2706909
12		838,2525635	2099,963684	2048,083801	220,2716064
16		911,494751	1698,085327	1460,429688	116,7025757
20		1858,493347	2215,739746	1560,94696	326,7016602
24		1011,821289	2203,532715	2894,755859	868,7701416
28		1008,769531	2154,70459	4161,426086	999,8049927
32		1209,804077	2377,10144	4255,839844	637,4087524
36		877,925415	2078,601379	3266,116638	290,2713013
40		902,3394775	1822,825928	2404,376526	189,7540283
44		1298,114319	2337,428589	2148,601074	278,06427
48		1785,25116	2580,997009	2818,652649	418,0636597
52		938,7698364	1554,843445	3439,685364	445,52948
56		935,7180786	1241,27533	3613,254089	396,8920898
60		865,7183838	1140,758057	2815,600891	119,7543335
64		841,3043213	1052,447815	2048,083801	80,08148193
68		2370,04425	1926,394959	1947,757263	229,236145
72		2032,062073	708,3621216	2785,083313	332,8051758
76		2759,715576	3981,753845	3500,72052	387,7368164
80		2863,284607	3951,427002	3799,029846	424,1671753
84		2778,026123	3634,616394	2949,496765	165,3399658
88		2631,923218	3409,358521	2328,273315	186,7022705
92		2939,387817	3521,89209	2611,514587	679,942627
96		2747,508545	3515,979309	3464,099426	1215,907593
100		2598,353882	3442,737122	4691,287537	1282,85553
104		2717,181702	3531,047363	4953,166504	1292,010803
108		2808,543701	3592,08252	3990,909119	801,8222046
112		2708,026428	3500,72052	3040,858765	603,8394165
116		2674,457092	3415,462036	2912,875671	874,8736572
120		2589,198608	3369,685669	3722,926636	880,9771729
124		2573,939819	3339,358826	3013,392944	1008,769531
128		2482,57782	3034,755249	2477,618713	579,425354
132		2348,681946	2791,186829	2580,997009	415,0119019
136		2266,47522	2568,789978	2243,014832	332,8051758
140		2266,47522	2553,721924	1731,463928	612,9946899
144		2296,992798	2663,203735	2596,255798	695,201416
148		2239,009399	2565,73822	1024,981995	290,2713013
152		2105,113525	2340,480347	763,1030273	116,7025757
156		1986,285706	2093,860168	1445,170898	125,8578491
160		1910,182495	1929,446716	1280,757446	52,80639648
164		1894,923706	1908,084412	358,1729126	86,18499756
168		1958,819885	2048,083801	245,4486084	86,18499756
172		2010,699768	2185,222168	96,29394531	52,80639648
176		1961,871643	2151,652832	245,4486084	52,80639648
180		1937,648315	2029,963989	1128,551025	177,5469971
184		1873,561401	1938,60199	967,1893311	168,3917236
188		1879,664917	1892,825623	53,7600708	52,80639648
192		1891,871948	2014,7052	53,7600708	52,80639648
196		1913,234253	2078,601379	53,7600708	52,80639648
200		1846,286316	1993,342896	53,7600708	52,80639648
204		1852,389832	1868,602295	1082,965393	201,9610596
208		1721,35498	1734,515686	936,6717529	119,7543335
212		1761,027832	1698,085327	53,7600708	52,80639648
216		1797,458191	1831,981201	53,7600708	52,80639648
220		1879,664917	1984,187622	53,7600708	52,80639648
224		1867,648621	2042,171021	53,7600708	52,80639648
228		1901,027222	2066,394348	790,5688477	52,80639648
232		1913,234253	2133,342285	756,9995117	52,80639648
236		2010,699768	2194,377441	53,7600708	52,80639648
240		2010,699768	2249,118347	53,7600708	52,80639648
244		2050,181885	2340,480347	53,7600708	52,80639648
248		2074,595947	2349,63562	53,7600708	52,80639648
252		2092,906494	2346,583862	729,7244263	52,80639648
256		2092,906494	2325,221558	683,9480591	67,87445068
260		2059,337158	2325,221558	53,7600708	52,80639648
264		2056,2854	2306,911011	53,7600708	52,80639648
268		2053,233643	2306,911011	53,7600708	52,80639648
272		2025,958557	2255,221863	53,7600708	52,80639648
276		1946,803589	2185,222168	1162,120361	859,6148682
280		1943,751831	2166,911621	1128,551025	744,029541
284		1946,803589	2173,015137	53,7600708	52,80639648
288		1904,078979	2230,8078	53,7600708	52,80639648
292		1925,441284	2264,377136	53,7600708	52,80639648
296		1949,855347	2270,480652	53,7600708	52,80639648
300		1928,493042	2252,170105	976,3446045	847,4078369
304		1940,700073	2258,273621	869,7238159	932,6663208
308		1940,700073	2258,273621	53,7600708	52,80639648
