tijd (h)	O2 (%) (1)	O2 (%) (2)	O2 (%) (3)	O2 (%) (4)
0		10,38589969	9,443110254	12,23950644	13,3982824
4		9,256127959	9,301830731	12,15609417	13,26750991
8		9,575110262	10,05879703	12,77178095	13,84855003
12		10,63975216	11,93974361	13,45419754	14,51164346
16		10,77052465	12,48088068	13,58765717	14,63472345
20		10,29564103	12,78846341	12,71391369	13,87316602
24		10,21410054	13,09656746	12,15609417	13,02186277
28		10,34487302	13,41249141	11,86467257	13,15263526
32		10,6233415	13,40415019	12,2973737	13,61931355
36		11,61362257	13,9286048	13,34628293	14,43779547
40		11,51567141	13,67054811	13,57097472	14,64292878
44		10,84437264	13,67054811	13,02983765	14,20855899
48		10,65616283	13,70391301	12,5887953	13,89778202
52		11,73670256	14,01201707	12,4970418	13,84855003
56		11,53208208	13,97031093	12,73841605	14,0777865
60		12,399796	14,20334395	13,65386565	14,76549594
64		12,93160411	14,19500272	13,81234896	14,91267909
68		11,78542172	12,81348708	13,08822623	14,24138032
72		11,48285008	12,83016954	12,71391369	14,01214384
76		12,49774715	13,6371832	12,64718388	13,99573318
80		12,80083163	13,73727792	12,77178095	14,02855451
84		13,14442993	13,77064282	13,72059547	14,8311386
88		13,43110373	13,77898405	13,70391301	14,74087994
92		13,52956772	13,60433962	12,73007482	13,7911127
96		13,7341882	13,58765717	12,08936436	12,89057745
100		13,89778202	13,57931594	11,84799012	13,1116086
104		14,06958117	13,60433962	12,28069124	13,52136239
108		14,31522832	13,71225424	13,32125925	14,38087098
112		14,52805413	13,82903141	13,52092736	14,60190212
116		14,74087994	13,91192235	12,64718388	13,74239354
120		14,86395993	13,93694603	12,05599945	13,32443441
124		15,03575908	14,02869952	12,14775295	13,32443441
128		15,5429512	14,41135328	12,48088068	13,75059887
132		15,63320986	14,37798838	13,43751509	14,56908079
136		15,78039301	14,5192679	13,58765717	14,78190661
140		15,78039301	14,44471819	12,78012218	13,92239802
144		15,82141967	14,44471819	12,63050143	13,17725126
148		16,05886148	14,6443863	12,48088068	13,45571973
152		16,39476729	14,90244299	12,86353444	13,89778202
156		16,6075931	15,03538129	13,65386565	14,77370127
160		16,73836559	15,13547601	13,77898405	14,91267909
164		16,61579843	15,03538129	13,02149642	13,98752785
168		16,37015129	14,80234828	12,26453012	13,20186725
172		16,37015129	14,81903073	12,28069124	13,29212591
176		16,56656644	15,01035761	12,70557247	13,80752336
180		16,74657092	15,08542865	13,54595104	14,71626394
184		16,81221358	15,14381724	13,7623016	14,8880631
188		16,77939225	15,11045233	13,00481397	14,02034918
192		16,50092378	14,85239564	12,43083332	13,39007707
196		16,5583611	14,9358079	12,30571492	13,29212591
200		16,68092826	15,03538129	12,72173359	13,92239802
204		16,81221358	15,14381724	13,56263349	14,87985776
208		16,85272741	15,15215846	13,72893669	15,01934842
212		16,72195492	15,02704007	13,43751509	14,59369679
216		16,41887045	14,74395969	12,93860548	14,09419717
220		16,28809796	14,71111611	12,79680463	14,02855451
224		16,23886597	14,63604507	12,83016954	14,18445583
228		16,18963397	14,6443863	13,49590368	14,97011642
232		16,09988815	14,511448	13,5959984	15,02755375
236		16,08347748	14,511448	13,27121189	14,50343813
240		15,98501349	14,39467083	12,77178095	13,97983535
244		15,89526767	14,31125857	12,68054879	13,93880868
248		15,878857	14,37798838	12,73841605	14,1270185
252		15,82141967	14,25339131	13,42917387	14,97832175
256		15,71526318	14,21168518	13,49590368	15,03575908
260		15,73167385	14,17832027	12,79680463	14,03675984
264		15,66603119	14,12827291	12,1644354	13,35725574
268		15,70705785	14,11993168	11,8730138	13,0546841
272		15,77218768	14,26173253	12,17277662	13,52956772
276		15,94449966	14,41969451	13,12993236	14,65882662
280		15,91167833	14,31959979	13,36296538	14,8557546
284		15,96091033	14,36130593	12,70557247	13,85675536
288		15,94449966	14,37798838	11,98144974	13,09571076
292		15,94449966	14,36130593	12,02315587	13,17725126
296		15,96091033	14,31125857	12,39746841	13,75059887
300		15,99321882	14,40301206	13,31291802	14,8557546
304		16,04245082	14,37798838	13,44585632	14,96191109
308		16,12450415	14,52760913	12,78846341	13,96342468
